true_prevalence,epsilon,seed,is_null_condition,noisy_count,noisy_proportion,ci_lower,ci_upper,detected
0.01,0.05,836806021,False,26,0.005716239505868132,0.0,0.018684777486621333,True
0.01,0.05,514414948,False,60,0.012998789149601417,3.0251168848213425e-05,0.02596732713035462,True
0.01,0.05,1533578261,False,25,0.0053263007138975305,0.0,0.018294838694650734,True
0.01,0.05,1155723607,False,19,0.004090722032888575,0.0,0.01705926001364178,True
0.01,0.05,1576915693,False,45,0.009646737051540908,0.0,0.02261527503229411,True
0.01,0.05,27083876,False,41,0.00893815245990966,0.0,0.021906690440662863,True
0.01,0.05,1963041937,False,56,0.012179633387893674,0.0,0.025148171368646877,True
0.01,0.05,852136701,False,35,0.007507130941744497,0.0,0.0204756689224977,True
0.01,0.05,283628025,False,53,0.011518977287059138,0.0,0.024487515267812343,True
0.01,0.05,25364885,False,50,0.010811863016653617,0.0,0.02378040099740682,True
0.01,0.05,996873591,False,77,0.016647011133284057,0.003678473152530854,0.02961554911403726,True
0.01,0.05,1645272994,False,32,0.006952877367542002,0.0,0.019921415348295203,True
0.01,0.05,2109709027,False,53,0.011548763630286682,0.0,0.024517301611039884,True
0.01,0.05,1133276014,False,67,0.014432402358713693,0.0014638643779604898,0.027400940339466898,True
0.01,0.05,766391172,False,44,0.009565260950428256,0.0,0.02253379893118146,True
0.01,0.05,773823836,False,109,0.023588028260966416,0.010619490280213213,0.036556566241719615,True
0.01,0.05,1593546990,False,88,0.019091064514893195,0.006122526534139992,0.0320596024956464,True
0.01,0.05,1617578658,False,38,0.008221249608291202,0.0,0.021189787589044405,True
0.01,0.05,1731607098,False,87,0.018817432341567266,0.005848894360814063,0.03178597032232047,True
0.01,0.1,1204545316,False,63,0.013683946136221054,0.007199677145844453,0.020168215126597656,True
0.01,0.1,213458019,False,51,0.011068528420277318,0.004584259429900716,0.01755279741065392,True
0.01,0.1,1636780476,False,26,0.005702099946353956,0.0,0.012186368936730557,True
0.01,0.1,1763256458,False,23,0.004989744241676368,0.0,0.011474013232052969,True
0.01,0.1,1518241754,False,76,0.01652596479590775,0.010041695805531149,0.02301023378628435,True
0.01,0.1,888948738,False,38,0.00830915948557509,0.001824890495198489,0.014793428475951692,True
0.01,0.1,792271869,False,76,0.016379034904192614,0.009894765913816012,0.022863303894569215,True
